"Statistiche appuntamenti dal";"01/03/2026";"al";"24/03/2026";""
"Atelier";"Diretto/Affiliato";"Appuntamenti presi";"Non Compilato";"Acquistato";"% Acquistato su presi";"";"Appuntamenti chiusi";"% Appuntamenti chiusi su presi";"Appuntamenti chiusi Sposa";"Appuntamenti chiusi Sposo";"Appuntamenti chiusi Sposa e Sposo";"Appuntamenti chiusi Cerimonia donna";"Appuntamenti chiusi Cerimonia uomo";"Appuntamenti chiusi sartoria";"% Acquistato su chiusi";"NON Acquistato";"% NON Acquistato su chiusi";"% NON Acquistato su presi"
"Alba";"Affiliato";"0";"0";"0";"0%";"";"0";"0%";"0";"0";"0";"0";"0";"0";"0%";"0";"0%";"0%"
"Atelier test 2";"Diretto";"0";"0";"0";"0%";"";"0";"0%";"0";"0";"0";"0";"0";"0";"0%";"0";"0%";"0%"
"Bari";"Diretto";"50";"5";"30";"60%";"";"53";"106%";"18";"11";"0";"2";"19";"3";"57%";"0";"0%";"0%"
"Bergamo";"Diretto";"43";"12";"28";"65%";"";"52";"121%";"19";"12";"0";"1";"11";"9";"54%";"5";"10%";"12%"
"Bologna";"Diretto";"116";"10";"47";"41%";"";"116";"100%";"61";"21";"1";"5";"28";"0";"41%";"28";"24%";"24%"
"Borgomanero";"Diretto";"48";"3";"15";"31%";"";"48";"100%";"29";"11";"1";"0";"7";"0";"31%";"4";"8%";"8%"
"Brescia";"Diretto";"72";"27";"32";"44%";"";"90";"125%";"35";"18";"0";"2";"16";"18";"36%";"10";"11%";"14%"
"Brugnato 5 Terre Outlet Village";"Diretto";"29";"6";"13";"45%";"";"29";"100%";"15";"6";"0";"4";"4";"0";"45%";"0";"0%";"0%"
"Cagliari";"Diretto";"45";"0";"16";"36%";"";"45";"100%";"17";"14";"1";"2";"11";"0";"36%";"3";"7%";"7%"
"Caserta";"Diretto";"106";"3";"48";"45%";"";"106";"100%";"51";"27";"0";"1";"27";"0";"45%";"17";"16%";"16%"
"Catania";"Diretto";"76";"3";"25";"33%";"";"76";"100%";"38";"18";"5";"1";"14";"0";"33%";"2";"3%";"3%"
"Citta' Sant'Angelo";"Affiliato";"30";"4";"16";"53%";"";"30";"100%";"10";"9";"2";"2";"7";"0";"53%";"8";"27%";"27%"
"Cosenza";"Diretto";"35";"2";"12";"34%";"";"35";"100%";"11";"13";"0";"1";"10";"0";"34%";"14";"40%";"40%"
"Firenze";"Diretto";"77";"19";"37";"48%";"";"77";"100%";"37";"23";"2";"1";"14";"0";"48%";"1";"1%";"1%"
"Franciacorta";"Diretto";"61";"4";"37";"61%";"";"61";"100%";"26";"18";"0";"4";"13";"0";"61%";"5";"8%";"8%"
"Frosinone";"Affiliato";"36";"47";"8";"22%";"";"64";"178%";"17";"9";"1";"1";"8";"28";"13%";"0";"0%";"0%"
"Genova";"Affiliato";"64";"10";"25";"39%";"";"64";"100%";"45";"14";"0";"1";"4";"0";"39%";"2";"3%";"3%"
"In Fiera";"Diretto";"0";"0";"0";"0%";"";"0";"0%";"0";"0";"0";"0";"0";"0";"0%";"0";"0%";"0%"
"Livorno";"Diretto";"67";"5";"24";"36%";"";"67";"100%";"34";"15";"1";"3";"14";"0";"36%";"11";"16%";"16%"
"Mantova";"Diretto";"48";"0";"38";"79%";"";"48";"100%";"20";"16";"0";"1";"11";"0";"79%";"4";"8%";"8%"
"Messina";"Diretto";"27";"8";"12";"44%";"";"35";"130%";"14";"4";"0";"0";"9";"8";"34%";"10";"29%";"37%"
"Milano";"Diretto";"223";"33";"107";"48%";"";"226";"101%";"95";"49";"1";"13";"65";"3";"47%";"13";"6%";"6%"
"Mondovi'";"Diretto";"44";"6";"29";"66%";"";"47";"107%";"15";"11";"0";"3";"13";"3";"62%";"3";"6%";"7%"
"Monza";"Diretto";"155";"4";"58";"37%";"";"156";"101%";"59";"56";"4";"5";"31";"1";"37%";"17";"11%";"11%"
"Napoli";"Diretto";"64";"4";"23";"36%";"";"64";"100%";"34";"12";"2";"3";"13";"0";"36%";"9";"14%";"14%"
"Padova";"Affiliato";"99";"79";"0";"0%";"";"104";"105%";"57";"18";"8";"0";"12";"5";"0%";"0";"0%";"0%"
"Palermo";"Diretto";"67";"12";"21";"31%";"";"72";"107%";"23";"13";"1";"5";"25";"5";"29%";"0";"0%";"0%"
"Perugia";"Diretto";"45";"3";"26";"58%";"";"45";"100%";"25";"12";"1";"1";"6";"0";"58%";"4";"9%";"9%"
"Pescara";"Diretto";"28";"2";"21";"75%";"";"28";"100%";"9";"7";"0";"1";"11";"0";"75%";"2";"7%";"7%"
"Piacenza";"Diretto";"29";"1";"24";"83%";"";"29";"100%";"11";"11";"0";"2";"5";"0";"83%";"0";"0%";"0%"
"Puglia Village";"Diretto";"52";"0";"34";"65%";"";"52";"100%";"17";"13";"0";"4";"18";"0";"65%";"9";"17%";"17%"
"Reggio Calabria";"Affiliato";"45";"1";"13";"29%";"";"45";"100%";"9";"7";"2";"4";"23";"0";"29%";"13";"29%";"29%"
"Reggio Emilia";"Diretto";"81";"8";"49";"60%";"";"81";"100%";"46";"23";"1";"5";"6";"0";"60%";"5";"6%";"6%"
"Rimini";"Affiliato";"47";"3";"13";"28%";"";"47";"100%";"25";"10";"2";"0";"10";"0";"28%";"6";"13%";"13%"
"Roma";"Diretto";"254";"34";"72";"28%";"";"257";"101%";"121";"38";"9";"7";"59";"3";"28%";"22";"9%";"9%"
"Salerno";"Diretto";"57";"11";"28";"49%";"";"61";"107%";"18";"8";"1";"1";"29";"4";"46%";"5";"8%";"9%"
"San Benedetto del Tronto";"Diretto";"45";"5";"23";"51%";"";"45";"100%";"28";"9";"1";"1";"5";"0";"51%";"2";"4%";"4%"
"Sartoria Napoli";"Affiliato";"1";"22";"0";"0%";"";"22";"2200%";"1";"0";"0";"0";"0";"21";"0%";"0";"0%";"0%"
"SEDE REGGIO";"Diretto";"0";"0";"0";"0%";"";"0";"0%";"0";"0";"0";"0";"0";"0";"0%";"0";"0%";"0%"
"Sicilia Village";"Diretto";"37";"0";"22";"59%";"";"37";"100%";"9";"4";"3";"5";"16";"0";"59%";"5";"14%";"14%"
"Torino";"Affiliato";"87";"0";"51";"59%";"";"87";"100%";"38";"21";"1";"0";"27";"0";"59%";"24";"28%";"28%"
"Torino Outlet Village";"Diretto";"115";"13";"37";"32%";"";"115";"100%";"41";"34";"2";"2";"36";"0";"32%";"39";"34%";"34%"
"Trento";"Diretto";"61";"4";"35";"57%";"";"61";"100%";"26";"20";"2";"3";"10";"0";"57%";"9";"15%";"15%"
"Treviso";"Diretto";"93";"7";"28";"30%";"";"95";"102%";"53";"24";"2";"2";"12";"2";"29%";"22";"23%";"24%"
"Trieste";"Diretto";"51";"2";"19";"37%";"";"51";"100%";"26";"14";"0";"1";"10";"0";"37%";"11";"22%";"22%"
"Udine";"Diretto";"40";"23";"16";"40%";"";"58";"145%";"18";"13";"0";"2";"7";"18";"28%";"11";"19%";"28%"
"Valdichiana";"Diretto";"91";"6";"68";"75%";"";"91";"100%";"31";"26";"1";"9";"23";"0";"75%";"7";"8%";"8%"
"Valmontone";"Diretto";"80";"2";"34";"43%";"";"80";"100%";"38";"19";"2";"5";"16";"0";"43%";"13";"16%";"16%"
"Varese";"Diretto";"104";"18";"24";"23%";"";"105";"101%";"44";"20";"4";"5";"31";"1";"23%";"16";"15%";"15%"
"Verona";"Affiliato";"56";"6";"31";"55%";"";"56";"100%";"24";"19";"1";"2";"10";"0";"55%";"7";"13%";"13%"
"Vicenza";"Affiliato";"46";"1";"21";"46%";"";"46";"100%";"26";"11";"3";"0";"6";"0";"46%";"14";"30%";"30%"
"Vigevano";"Affiliato";"65";"5";"42";"65%";"";"65";"100%";"23";"26";"0";"1";"15";"0";"65%";"18";"28%";"28%"
