"Statistiche appuntamenti dal";"01/03/2026";"al";"25/03/2026";""
"Atelier";"Diretto/Affiliato";"Appuntamenti presi";"Non Compilato";"Acquistato";"% Acquistato su presi";"";"Appuntamenti chiusi";"% Appuntamenti chiusi su presi";"Appuntamenti chiusi Sposa";"Appuntamenti chiusi Sposo";"Appuntamenti chiusi Sposa e Sposo";"Appuntamenti chiusi Cerimonia donna";"Appuntamenti chiusi Cerimonia uomo";"Appuntamenti chiusi sartoria";"% Acquistato su chiusi";"NON Acquistato";"% NON Acquistato su chiusi";"% NON Acquistato su presi"
"Alba";"Affiliato";"0";"0";"0";"0%";"";"0";"0%";"0";"0";"0";"0";"0";"0";"0%";"0";"0%";"0%"
"Atelier test 2";"Diretto";"0";"0";"0";"0%";"";"0";"0%";"0";"0";"0";"0";"0";"0";"0%";"0";"0%";"0%"
"Bari";"Diretto";"49";"8";"30";"61%";"";"57";"116%";"23";"11";"0";"2";"18";"3";"53%";"0";"0%";"0%"
"Bergamo";"Diretto";"41";"10";"30";"73%";"";"51";"124%";"19";"12";"0";"1";"10";"9";"59%";"6";"12%";"15%"
"Bologna";"Diretto";"115";"12";"48";"42%";"";"120";"104%";"63";"23";"1";"5";"28";"0";"40%";"28";"23%";"24%"
"Borgomanero";"Diretto";"46";"3";"15";"33%";"";"50";"109%";"27";"13";"1";"0";"9";"0";"30%";"4";"8%";"9%"
"Brescia";"Diretto";"69";"28";"32";"46%";"";"89";"129%";"33";"18";"1";"2";"16";"18";"36%";"11";"12%";"16%"
"Brugnato 5 Terre Outlet Village";"Diretto";"29";"6";"13";"45%";"";"30";"103%";"15";"6";"0";"4";"5";"0";"43%";"0";"0%";"0%"
"Cagliari";"Diretto";"45";"2";"16";"36%";"";"47";"104%";"19";"14";"1";"2";"11";"0";"34%";"3";"6%";"7%"
"Caserta";"Diretto";"107";"2";"48";"45%";"";"108";"101%";"52";"27";"0";"1";"28";"0";"44%";"18";"17%";"17%"
"Catania";"Diretto";"76";"3";"25";"33%";"";"78";"103%";"39";"18";"5";"2";"14";"0";"32%";"2";"3%";"3%"
"Citta' Sant'Angelo";"Affiliato";"31";"4";"17";"55%";"";"32";"103%";"11";"9";"2";"2";"8";"0";"53%";"8";"25%";"26%"
"Cosenza";"Diretto";"35";"2";"13";"37%";"";"36";"103%";"12";"13";"0";"1";"10";"0";"36%";"14";"39%";"40%"
"Firenze";"Diretto";"73";"13";"39";"53%";"";"73";"100%";"37";"23";"1";"1";"11";"0";"53%";"1";"1%";"1%"
"Franciacorta";"Diretto";"61";"1";"37";"61%";"";"61";"100%";"26";"18";"0";"4";"13";"0";"61%";"8";"13%";"13%"
"Frosinone";"Affiliato";"36";"47";"8";"22%";"";"64";"178%";"17";"9";"1";"1";"8";"28";"13%";"0";"0%";"0%"
"Genova";"Affiliato";"64";"10";"25";"39%";"";"64";"100%";"45";"14";"0";"1";"4";"0";"39%";"2";"3%";"3%"
"In Fiera";"Diretto";"0";"0";"0";"0%";"";"0";"0%";"0";"0";"0";"0";"0";"0";"0%";"0";"0%";"0%"
"Livorno";"Diretto";"67";"4";"26";"39%";"";"68";"101%";"35";"15";"1";"3";"14";"0";"38%";"11";"16%";"16%"
"Mantova";"Diretto";"48";"0";"38";"79%";"";"48";"100%";"20";"16";"0";"1";"11";"0";"79%";"4";"8%";"8%"
"Messina";"Diretto";"27";"7";"12";"44%";"";"35";"130%";"14";"4";"0";"0";"9";"8";"34%";"10";"29%";"37%"
"Milano";"Diretto";"222";"34";"108";"49%";"";"230";"104%";"98";"50";"1";"13";"65";"3";"47%";"14";"6%";"6%"
"Mondovi'";"Diretto";"43";"7";"29";"67%";"";"48";"112%";"15";"11";"0";"3";"12";"5";"60%";"3";"6%";"7%"
"Monza";"Diretto";"153";"5";"58";"38%";"";"158";"103%";"58";"56";"5";"5";"33";"1";"37%";"17";"11%";"11%"
"Napoli";"Diretto";"63";"2";"24";"38%";"";"66";"105%";"34";"15";"2";"3";"12";"0";"36%";"10";"15%";"16%"
"Padova";"Affiliato";"99";"80";"0";"0%";"";"105";"106%";"58";"18";"8";"0";"12";"5";"0%";"0";"0%";"0%"
"Palermo";"Diretto";"63";"9";"22";"35%";"";"73";"116%";"24";"12";"1";"5";"26";"5";"30%";"0";"0%";"0%"
"Perugia";"Diretto";"46";"1";"28";"61%";"";"47";"102%";"26";"13";"1";"1";"6";"0";"60%";"5";"11%";"11%"
"Pescara";"Diretto";"28";"2";"22";"79%";"";"30";"107%";"9";"7";"0";"1";"13";"0";"73%";"2";"7%";"7%"
"Piacenza";"Diretto";"29";"1";"24";"83%";"";"29";"100%";"11";"11";"0";"2";"5";"0";"83%";"0";"0%";"0%"
"Puglia Village";"Diretto";"52";"0";"34";"65%";"";"53";"102%";"18";"13";"0";"4";"18";"0";"64%";"9";"17%";"17%"
"Reggio Calabria";"Affiliato";"45";"2";"13";"29%";"";"47";"104%";"10";"7";"2";"4";"24";"0";"28%";"13";"28%";"29%"
"Reggio Emilia";"Diretto";"78";"7";"50";"64%";"";"83";"106%";"48";"22";"1";"4";"8";"0";"60%";"5";"6%";"6%"
"Rimini";"Affiliato";"48";"5";"15";"31%";"";"52";"108%";"29";"10";"2";"0";"11";"0";"29%";"6";"12%";"13%"
"Roma";"Diretto";"254";"29";"73";"29%";"";"259";"102%";"122";"39";"9";"7";"59";"3";"28%";"23";"9%";"9%"
"Salerno";"Diretto";"55";"8";"31";"56%";"";"62";"113%";"17";"9";"1";"1";"30";"4";"50%";"5";"8%";"9%"
"San Benedetto del Tronto";"Diretto";"43";"2";"24";"56%";"";"43";"100%";"27";"8";"1";"1";"5";"0";"56%";"2";"5%";"5%"
"Sartoria Napoli";"Affiliato";"1";"24";"0";"0%";"";"24";"2400%";"1";"0";"0";"0";"0";"23";"0%";"0";"0%";"0%"
"SEDE REGGIO";"Diretto";"0";"0";"0";"0%";"";"0";"0%";"0";"0";"0";"0";"0";"0";"0%";"0";"0%";"0%"
"Sicilia Village";"Diretto";"37";"0";"22";"59%";"";"37";"100%";"9";"4";"3";"5";"16";"0";"59%";"5";"14%";"14%"
"Torino";"Affiliato";"87";"4";"51";"59%";"";"91";"105%";"41";"21";"1";"0";"28";"0";"56%";"24";"26%";"28%"
"Torino Outlet Village";"Diretto";"114";"14";"37";"32%";"";"117";"103%";"40";"35";"2";"2";"38";"0";"32%";"39";"33%";"34%"
"Trento";"Diretto";"61";"5";"36";"59%";"";"63";"103%";"28";"20";"2";"3";"10";"0";"57%";"9";"14%";"15%"
"Treviso";"Diretto";"92";"6";"30";"33%";"";"98";"107%";"58";"23";"2";"2";"11";"2";"31%";"23";"23%";"25%"
"Trieste";"Diretto";"51";"2";"19";"37%";"";"52";"102%";"27";"14";"0";"1";"10";"0";"37%";"11";"21%";"22%"
"Udine";"Diretto";"40";"25";"16";"40%";"";"60";"150%";"20";"13";"0";"2";"7";"18";"27%";"11";"18%";"28%"
"Valdichiana";"Diretto";"92";"6";"72";"78%";"";"95";"103%";"34";"28";"1";"9";"22";"0";"76%";"7";"7%";"8%"
"Valmontone";"Diretto";"81";"4";"34";"42%";"";"82";"101%";"38";"20";"2";"5";"17";"0";"41%";"13";"16%";"16%"
"Varese";"Diretto";"104";"21";"25";"24%";"";"111";"107%";"46";"23";"4";"5";"32";"1";"23%";"16";"14%";"15%"
"Verona";"Affiliato";"56";"7";"31";"55%";"";"57";"102%";"25";"19";"1";"2";"10";"0";"54%";"7";"12%";"13%"
"Vicenza";"Affiliato";"46";"1";"22";"48%";"";"48";"104%";"28";"11";"3";"0";"6";"0";"46%";"14";"29%";"30%"
"Vigevano";"Affiliato";"65";"3";"45";"69%";"";"68";"105%";"24";"27";"0";"2";"15";"0";"66%";"20";"29%";"31%"
